episode,reward,epsilon,steps,loss
0,-242.14605027380185,0.9968333333333333,108,0.0
1,-180.08946285545488,0.9936772222222222,65,0.0
2,-204.90306232485543,0.9905316314814815,118,0.0
3,-275.88754515619553,0.9873965260432099,82,0.0
4,-451.13155382393296,0.9842718709563992,107,0.0
5,-94.15222676908216,0.9811576313865445,80,0.0
6,-91.65426615253855,0.9780537726152561,85,0.0
7,-93.92542668135117,0.9749602600398719,65,0.0
8,-127.972431263435,0.9718770591730723,88,0.0
9,-243.88693169491134,0.9688041356424955,102,0.0
10,-160.98843204087865,0.9657414551903538,118,0.0
11,-154.47977165497724,0.9626889836730527,91,0.0
12,-261.0916292342826,0.9596466870608091,79,0.0
13,-112.57159650566805,0.9566145314372732,134,0.0
14,-217.68221934176847,0.9535924829991489,72,0.0
15,-154.15507340789765,0.9505805080558184,90,0.0
16,-0.4488785926072154,0.9475785730289656,70,0.0
17,-8.607218541253673,0.9445866444522024,67,0.0
18,-203.39742728088822,0.941604688970695,100,0.0
19,-64.49491076364785,0.9386326733407927,160,0.0
20,-100.36949476935287,0.9356705644296567,124,0.0
21,-89.5748711032222,0.9327183292148912,98,0.0
22,-243.03206204520188,0.9297759347841749,115,0.0
23,-78.32370946584888,0.9268433483348942,65,0.0
24,-240.21386906269564,0.9239205371737779,69,0.0
25,-117.32864555712628,0.9210074687165319,74,0.0
26,-121.03861087016722,0.9181041104874769,89,0.0
27,-176.27385893418904,0.9152104301191852,103,0.0
28,-123.39763088255785,0.9123263953521212,91,0.0
29,-171.0621441564217,0.9094519740342808,94,0.0
30,-93.87352994658823,0.9065871341208332,77,0.0
31,-246.15522263162205,0.9037318436737638,78,0.0
32,-150.1807810339004,0.900886070861518,123,0.0
33,-140.59749558271912,0.8980497839586462,70,0.0
34,-117.71383905545662,0.8952229513454507,83,0.0
35,-87.68513112081587,0.8924055415076325,88,0.0
36,-132.37106531577345,0.8895975230359404,84,0.0
37,-255.11097421415883,0.8867988646258206,82,0.0
38,-229.6769868653438,0.8840095350770678,92,0.0
39,-127.13927229301902,0.8812295032934776,89,0.0
40,-125.44213383832155,0.8784587382824993,103,0.0
41,-352.15200444071337,0.875697209154891,119,0.0
42,-126.83315029794477,0.8729448851243747,68,0.0
43,-126.30413675250398,0.8702017355072935,107,0.0
44,-101.72029316690393,0.8674677297222692,75,0.0
45,-44.692042464384635,0.8647428372898616,81,0.0
46,-335.24158663033757,0.8620270278322287,72,0.0
47,-110.28411397241894,0.859320271072788,137,0.0
48,-343.7411841656659,0.8566225368358786,83,0.0
