episode,reward,epsilon,steps,loss
0,-225.6667275329593,0.9968333333333333,111,0.0
1,-10.290726924803423,0.9936772222222222,69,0.0
2,-90.08701407291102,0.9905316314814815,71,0.0
3,-112.16435769997013,0.9873965260432099,91,0.0
4,-69.97496211403595,0.9842718709563992,63,0.0
5,-101.06981108104387,0.9811576313865445,61,0.0
6,-114.44951935635727,0.9780537726152561,129,0.0
7,-84.26104045441244,0.9749602600398719,67,0.0
8,-121.31964494229982,0.9718770591730723,106,0.0
9,-430.26767408791744,0.9688041356424955,102,0.0
10,-158.03389898875488,0.9657414551903538,126,0.0
11,-129.46067290662577,0.9626889836730527,65,0.0
12,-376.46332313210416,0.9596466870608091,93,0.0
13,-144.52237868021263,0.9566145314372732,79,0.0
14,-68.82583023706056,0.9535924829991489,154,0.0
15,-336.03089753928646,0.9505805080558184,94,0.0
16,-418.97694689319604,0.9475785730289656,86,0.0
17,-105.40999696115462,0.9445866444522024,118,0.0
18,-230.39948310465934,0.941604688970695,96,0.0
19,-175.63532838422145,0.9386326733407927,79,0.0
20,-440.2508957822322,0.9356705644296567,122,0.0
21,-82.75542540634018,0.9327183292148912,73,0.0
22,-401.6182497528433,0.9297759347841749,121,0.0
23,23.24793950649537,0.9268433483348942,113,0.0
24,-133.90240174755598,0.9239205371737779,115,0.0
25,-256.0546434184536,0.9210074687165319,130,0.0
26,-372.51540244555315,0.9181041104874769,74,0.0
27,-492.82262352347215,0.9152104301191852,114,0.0
28,-70.9639735728203,0.9123263953521212,83,0.0
29,-358.5863259309755,0.9094519740342808,122,0.0
30,-151.28633352636348,0.9065871341208332,89,0.0
31,-203.24210191277604,0.9037318436737638,59,0.0
32,-90.01853473048394,0.900886070861518,67,0.0
33,-246.22481268213002,0.8980497839586462,60,0.0
34,-280.45295317689676,0.8952229513454507,104,0.0
35,-313.0501231964191,0.8924055415076325,85,0.0
36,-50.77678564282053,0.8895975230359404,67,0.0
37,-193.9418064781991,0.8867988646258206,86,0.0
38,-361.0424713204046,0.8840095350770678,84,0.0
39,-335.6907280485011,0.8812295032934776,103,0.0
40,-283.03121419718957,0.8784587382824993,90,0.0
41,-191.87009933064644,0.875697209154891,84,0.0
42,-284.0283113619932,0.8729448851243747,90,0.0
