episode,reward,epsilon,steps,loss
0,-309.65191289225294,0.9968333333333333,113,0.0
1,-76.72126551323424,0.9936772222222222,83,0.0
2,-316.5624588393923,0.9905316314814815,102,0.0
3,-92.74252814339249,0.9873965260432099,93,0.0
4,-88.58834758744105,0.9842718709563992,129,0.0
5,-463.18670797976097,0.9811576313865445,145,0.0
6,-131.57944042677207,0.9780537726152561,78,0.0
7,-273.16352066329097,0.9749602600398719,77,0.0
8,-114.5005737323296,0.9718770591730723,84,0.0
9,-418.05786710901725,0.9688041356424955,143,0.0
10,-127.56731559628392,0.9657414551903538,84,0.0
11,-97.40046429940179,0.9626889836730527,88,0.0
12,-138.2699224397185,0.9596466870608091,131,0.0
13,-128.75132500001155,0.9566145314372732,63,0.0
14,-388.03544128545747,0.9535924829991489,92,0.0
15,-241.48196467520773,0.9505805080558184,83,0.0
16,-249.20862707964736,0.9475785730289656,93,0.0
17,-149.11593835121076,0.9445866444522024,57,0.0
18,-197.71409378547656,0.941604688970695,82,0.0
19,-103.92074994983423,0.9386326733407927,100,0.0
20,-139.98908237898848,0.9356705644296567,60,0.0
21,-107.50094005728103,0.9327183292148912,65,0.0
22,34.4170943331188,0.9297759347841749,91,0.0
23,-130.85503823888772,0.9268433483348942,79,0.0
24,-135.802499833134,0.9239205371737779,98,0.0
25,-140.0763010626271,0.9210074687165319,76,0.0
26,-200.88233728645298,0.9181041104874769,67,0.0
27,-114.50108095864235,0.9152104301191852,70,0.0
28,-130.59073021050136,0.9123263953521212,58,0.0
29,-88.38696197714019,0.9094519740342808,61,0.0
30,-498.39133821641843,0.9065871341208332,115,0.0
31,-114.09098117063952,0.9037318436737638,87,0.0
32,-93.20825500366334,0.900886070861518,76,0.0
33,-139.11941249228886,0.8980497839586462,68,0.0
34,-57.30418663888741,0.8952229513454507,92,0.0
35,-209.83703123888625,0.8924055415076325,88,0.0
36,-323.6951072598157,0.8895975230359404,88,0.0
37,-198.04299583960506,0.8867988646258206,82,0.0
38,-135.15915061355875,0.8840095350770678,73,0.0
39,-236.098364168985,0.8812295032934776,81,0.0
40,-63.92165975851101,0.8784587382824993,59,0.0
41,-22.453746933936415,0.875697209154891,65,0.0
42,-117.00318641803855,0.8729448851243747,64,0.0
43,-264.2765063802982,0.8702017355072935,110,0.0
44,-392.856286802398,0.8674677297222692,94,0.0
45,-34.23161478177009,0.8647428372898616,64,0.0
46,-171.19347775748696,0.8620270278322287,75,0.0
47,-234.4859379303226,0.859320271072788,77,0.0
48,-535.9601588410185,0.8566225368358786,94,0.0
49,-369.45585539821354,0.8539337950464257,108,0.0
50,-178.11217903440627,0.8512540157296044,85,0.0
51,-130.5141609454936,0.8485831690105057,105,0.0
52,-250.33685468349344,0.845921225113804,71,0.0
53,-203.81782021716214,0.8432681543634246,59,0.0
54,-204.83946091005453,0.8406239271822132,85,0.0
55,-114.95435699772348,0.8379885140916059,55,0.0
56,-438.6487577896054,0.8353618857113005,92,0.0
57,-101.31262452140658,0.8327440127589295,70,0.0
58,-169.85145149593572,0.8301348660497331,110,0.0
59,-184.55424017192774,0.8275344164962339,63,0.0
60,-238.1061796514921,0.8249426351079132,91,0.0
61,-365.5630412762496,0.8223594929908868,80,0.0
62,-178.97940841343618,0.8197849613475839,110,0.0
63,-135.87861212627652,0.8172190114764253,144,0.0
64,-210.30702067680974,0.8146616147715039,59,0.0
65,-94.43600108549762,0.8121127427222655,65,0.0
66,-269.89021525639214,0.8095723669131913,88,0.0
67,-475.21248189100936,0.8070404590234808,115,0.0
68,-174.9140504959526,0.8045169908267358,67,0.0
69,-235.58324132863385,0.8020019341906467,92,0.0
70,-302.59273811403637,0.7994952610766779,85,0.0
71,-284.4118250370279,0.7969969435397556,70,0.0
72,-127.75478589230106,0.7945069537279564,89,0.0
73,-134.17985157114032,0.7920252638821966,65,0.0
74,-416.7906375707887,0.7895518463359227,96,0.0
75,-296.39653836688854,0.787086673514803,62,0.0
